ID,Sujet,Catégorie,Époque,Pays/Région,Hook,Potentiel Viral (/10),Statut,Duree_Cible,Id_Video
1,La folie dansante de Strasbourg,Événement étrange,1518,France,Une ville entière s'est mise à danser jusqu'à mourir.,10,Erreur,35,1_la_folie_dansante_de_strasbourg
2,L'armée de terre cuite,Archéologie,Antiquité,Chine,Des milliers de soldats attendaient sous terre depuis 2200 ans.,10,Publie,35,2_larmée_de_terre_cuite
3,Le béton romain,Technologie,Antiquité,Empire romain,Pourquoi les ports romains survivent-ils encore aujourd'hui ?,9,Publie,35,3_le_béton_romain
4,Le navire de Sutton Hoo,Archéologie,VIIe siècle,Angleterre,Un bateau funéraire géant caché sous une colline.,9,En attente,35,4_le_navire_de_sutton_hoo
5,L'expédition Franklin,Exploration,XIXe siècle,Arctique,Deux navires ont disparu sans laisser de trace.,10,En attente,35,5_lexpédition_franklin
6,Le trésor de Staffordshire,Trésor,VIIe siècle,Angleterre,Un promeneur découvre une fortune enterrée.,8,En attente,35,6_le_trésor_de_staffordshire
7,Les corps de Pompéi,Catastrophe,79 ap. J.-C.,Italie,Des victimes figées dans leurs derniers instants.,10,En attente,45,7_les_corps_de_pompéi
8,La tombe de Toutânkhamon,Archéologie,Égypte antique,Égypte,La découverte qui lança une malédiction légendaire.,10,En attente,35,8_la_tombe_de_toutânkhamon
9,Les lignes de Nazca,Mystère archéologique,Antiquité,Pérou,Des dessins géants visibles depuis le ciel.,9,En attente,60,9_les_lignes_de_nazca
10,Le manuscrit de Voynich,Mystère,Moyen Âge,Europe,Le livre que personne ne sait lire.,10,En attente,60,10_le_manuscrit_de_voynich
11,Le mécanisme d'Anticythère,Technologie,Antiquité,Grèce,Un ordinateur vieux de 2000 ans.,10,En attente,35,11_le_mécanisme_danticythère
12,La bibliothèque d'Alexandrie,Savoir,Antiquité,Égypte,Le plus grand centre de connaissance perdu.,9,En attente,35,12_la_bibliothèque_dalexandrie
13,Pompéi sous les cendres,Archéologie,79 ap. J.-C.,Italie,Une ville entière figée dans le temps.,9,En attente,35,13_pompéi_sous_les_cendres
14,Le colosse de Rhodes,Merveille,Antiquité,Grèce,Une statue gigantesque disparue.,8,En attente,35,14_le_colosse_de_rhodes
15,Les momies des marais,Archéologie,Antiquité,Danemark,Des corps conservés pendant des millénaires.,9,En attente,35,15_les_momies_des_marais
16,Le trésor de Priam,Archéologie,Âge du bronze,Turquie,La découverte qui bouleversa l'archéologie.,8,En attente,35,16_le_trésor_de_priam
17,Göbekli Tepe,Archéologie,Préhistoire,Turquie,Un temple plus ancien que les pyramides.,10,En attente,35,17_göbekli_tepe
18,Les Vikings au Canada,Exploration,XIe siècle,Canada,Les Vikings ont atteint l'Amérique avant Colomb.,9,En attente,35,18_les_vikings_au_canada
19,La colonie de Roanoke,Disparition,XVIe siècle,États-Unis,Un village entier s'est volatilisé.,10,En attente,60,19_la_colonie_de_roanoke
20,Le Krakatoa,Catastrophe,1883,Indonésie,L'explosion entendue à des milliers de kilomètres.,9,En attente,45,20_le_krakatoa
21,Les gardiens de Xian,Archéologie,Antiquité,Chine,Les soldats enterrés pour protéger un empereur.,8,En attente,35,21_les_gardiens_de_xian
22,Le siège de Malte,Bataille,1565,Malte,Une poignée d'hommes contre un empire.,8,En attente,45,22_le_siège_de_malte
